-900;Received;Letter was received and queued for processing
-910;In Process;Letter is being processed. Processing may take a few hours.
-990;Not enough funds available;Attention Needed. The account does not have enough funds to process the letter. If additional funds are added in the Account section of the Control Panel within 72 hours, the letter will continue being processed immediately thereafter.
-995;Waiting For Delivery;Letter was processed and is waiting to be dispatched to the postal agency. This may take up to one business day.
-1002;Completed: successfully completed in "Development" work mode;Letter handling is complete, but the letter will not be physically processed or delivered to the postal agency.
-1010;Failed: no funds available to process the letter;Account does not have sufficient funds to process the letter.
-1018;Failed: Provided US address cannot be verified;US addresses must be verified by CASS and DPV. Make sure the address provided contains all address details.
-1021;Failed: Invalid page size;One of the document's page size is set to an unsupported size. See supported page sizes.
-1025;Failed: A document could not be processed;Make sure your documents contain no macros. Verify that you can view your document locally. If the document appears OK, contact technical support.
-1045;Failed: Recipient postal address could not be extracted from the document;Verify that the address is correctly positioned.
-1065;Failed: Too many sheets of paper;The letter contains more sheets of paper than may be inserted into the selected envelope. For example, a No. 10 envelope may hold up to 7 sheets of paper.
-1099;Failed: Internal Error;Processing failed due to an internal error. Contact technical support.
-3000;OK;Successfully received the Web Service request.
-3001;This user is not authorized to access the specified item
-3002;User was actively blocked;This user was actively blocked by PostalMethods. Please contact support@postalmethods.com for more details.
-3003;Not Authenticated;API key does not exist or Username does not exist or username and password do not match.
-3004;The specified file extension is not supported;The extension specified in FileExtension is not a Supported file type.
-3010;Rejected: no funds available to the account;Your account does not have the necessary balance to process your letter. Check your balance and purchase a new prepaid card.
-3020;Rejected: file specified is currently unavailable;The requested PDF is currently unavailable. Possible causes: (1) file is still being processed, (2) file was deleted due to enhanced privacy settings, (3) file was deleted due to age limitations.
-3022;Cancellation Denied: The letter was physically processed and cannot be cancelled or is already cancelled;It is not possible to cancel the letter delivery because the letter was already processed and queued for delivery to the postal agency or it may have been cancelled already.
-3113;Rejected: city field contains more than 30 characters;The city property is limited to 30 characters.
-3114;Rejected: state field contains more than 30 characters;The state property is limited to 30 characters.
-3115;Warning: no data was returned for you query;Your query did not return any results.
-3116;Warning: the specified letter is unavailable;The specified item ID does not exist in the system.
-3117;Rejected: Company field contains more than 45 characters;The company property is limited to 45 characters.
-3118;Rejected: Address1 field contains more than 45 characters;Field Address1 is limited to 45 characters.
-3119;Rejected: Address2 field contains more than 45 characters;Field Address2 is limited to 45 characters.
-3120;Rejected: AttentionLine1 field contains more than 45 characters;Field AttentionLine1 is limited to 45 characters.
-3121;Rejected: AttentionLine2 field contains more than 45 characters;Field AttentionLine2 is limited to 45 characters.
-3122;Rejected: AttentionLine3 field contains more than 45 characters;Field AttentionLine3 is limited to 45 characters.
-3123;Rejected: PostalCode/ZIP field contains more than 15 characters;Postal Code / ZIP field is limited to 15 characters.
-3124;Rejected: Country field contains more than 30 characters;Country field is limited to 30 characters.
-3125;Only account administrators are allowed access to this information;This information may be accessed by users with Administrator permissions only.
-3126;Invalid file name;File name should be in the format: FileName.Ext
-3127;File name already exists;Used file name already exists for this user. File names cannot be duplicated.
-3128;The ImageSideFileType field is empty or missing;ImageSideFileType is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-3129;The AddressSideFileType field is empty or missing;AddressSideFileType is a required field. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
-3130;Unsupported file extension in ImageSideFileType;File extension provided for ImageSideFileType is unsupported.
-3131;Unsupported file extension in AddressSideFileType;File extension provided for AddressSideFileType is unsupported.
-3132;The ImageSideBinaryData field is empty or missing;ImageSideBinaryData must contain your document or image as BASE64 binary data. Please make sure that you did not send a null string. If it is missing, the problem might be caused by the SOAP package you use. Please post your code on our forum for further assistance.
